[0.91, 22, 48, 64, 84, 68, 62, 65, 76, 48, 0, 20, 38, 58, 44, 56, 98, 104, 88, 78, 26]
[1.07, 20, 42, 54, 88, 96, 50, 64, 78, 72, 36, 20, 44, 52, 50, 64, 106, 106, 84, 52, 6]
[1.02, 20, 44, 50, 80, 92, 46, 66, 80, 74, 42, 20, 38, 55, 48, 62, 98, 104, 86, 66, 14]
[1.07, 20, 42, 54, 84, 96, 46, 64, 76, 82, 48, 20, 43, 48, 50, 64, 106, 106, 84, 52, 6]
[1.0, 20, 44, 52, 82, 92, 46, 66, 71, 73, 42, 20, 38, 46, 50, 54, 102, 106, 88, 76, 26]
[1.1, 20, 42, 54, 76, 100, 50, 68, 74, 80, 48, 20, 44, 47, 54, 70, 106, 98, 86, 36, 0]
[0.98, 22, 44, 52, 86, 82, 50, 67, 75, 68, 24, 20, 38, 58, 44, 56, 98, 104, 88, 78, 26]
[1.12, 20, 42, 56, 74, 96, 46, 66, 78, 80, 50, 20, 46, 48, 54, 76, 108, 92, 80, 24, 0]
[0.95, 22, 44, 60, 88, 74, 52, 66, 73, 64, 16, 20, 42, 64, 46, 60, 94, 106, 90, 80, 26]
[1.15, 20, 48, 52, 88, 100, 50, 64, 76, 80, 48, 20, 43, 48, 54, 84, 108, 88, 72, 16, 0]
[0.93, 22, 44, 58, 88, 68, 54, 68, 75, 56, 8, 20, 42, 50, 50, 56, 98, 106, 86, 80, 26]
[1.18, 20, 42, 54, 80, 96, 48, 64, 78, 80, 44, 20, 43, 49, 52, 86, 106, 88, 72, 12, 0]
[0.91, 22, 46, 64, 84, 64, 58, 67, 76, 48, 2, 20, 38, 60, 46, 58, 98, 106, 88, 74, 22]
[1.2, 20, 44, 54, 72, 92, 52, 64, 80, 78, 44, 20, 45, 51, 52, 94, 104, 88, 60, 6, 0]
[0.89, 24, 46, 64, 88, 56, 62, 66, 74, 38, 0, 20, 40, 58, 48, 58, 100, 104, 88, 72, 22]
[1.23, 20, 44, 56, 84, 96, 48, 68, 78, 80, 40, 20, 44, 54, 52, 96, 104, 86, 46, 2, 0]
[0.88, 24, 46, 66, 90, 52, 64, 74, 70, 26, 0, 20, 38, 58, 44, 60, 96, 104, 86, 76, 24]
